agency_id,agency_name,agency_url,agency_timezone,agency_phone,agency_lang
100058,ABuss OÜ,https://abuss.ee/,Europe/Tallinn,+372 53585411,et
71,Aktsiaselts Hansa Bussiliinid,http://www.hansaliinid.ee/,Europe/Tallinn,+372 4334302,et
31,Aktsiaselts MK Autobuss,http://www.peatus.ee,Europe/Tallinn,"",et
100063,Alukvik OÜ,http://www.alukvik.ee,Europe/Tallinn,"",""
632,Arilix OÜ,http://www.vaikebussid.ee,Europe/Tallinn,+372 5172166,et
78,AS Lux Express Estonia,http://www.luxexpress.eu,Europe/Tallinn,+372 6813471,et
219,Asunduse osaühing,http://www.asunduse.ee,Europe/Tallinn,+372 5273986,et
100083,ATG Bussipark OÜ,http://www.peatus.ee,Europe/Tallinn,+372 6272710,et
100047,Atko Bussiliinid AS,https://atko.ee/,Europe/Tallinn,"",""
100046,ATKO Liinid OÜ,https://atko.ee/,Europe/Tallinn,"",""
7,Ekspress-Auto L Osaühing,http://www.ekspressautol.ee,Europe/Tallinn,+372 33 79 040,et
100056,Ekspressbussiliinid osaühing,http://www.peatus.ee,Europe/Tallinn,"",et
100022,Elmar Purga FIE,http://www.peatus.ee,Europe/Tallinn,5037559,et
82,ELRON,http://www.elron.ee,Europe/Tallinn,1447,et
100043,Estonian Lines OÜ,http://www.peatus.ee,Europe/Tallinn,+372 5188493,et
100084,Flixbus Polska sp.o.o,https://www.flixbus.ee/,Europe/Tallinn,"",""
60,GoBus AS,http://www.gobus.ee,Europe/Tallinn,+372 736 2290,et
295,HANSABUSS AS,http://www.hansabuss.ee,Europe/Tallinn,+372 6713260,et
787,Kalle Bussid OÜ,http://www.peatus.ee,Europe/Tallinn,+372 5177354,et
100002,Kihnu Veeteed AS,http://www.veeteed.com,Europe/Tallinn,+372 4431069,et
100073,MEELIS HEEK,http://www.peatus.ee,Europe/Tallinn,+372 5265204,et
317,MK Reis-X OÜ,http://www.reis.ee,Europe/Tallinn,+372 5101872,et
100027,NAJA OÜ,http://www.peatus.ee,Europe/Tallinn,+372 5540170,et
628,Norma-A SIA,http://www.peatus.ee,Europe/Tallinn,00371 9412675 ,""
100081,Osaühing Bristol Takso,http://www.bristoltakso.ee,Europe/Tallinn,Kontori telefon: +372 443 0600,et
100026,OSAÜHING FREMANTI,http://www.peatus.ee,Europe/Tallinn,+37256904537,et
100078,osaühing Tulisilm,http://www.tulisilm.ee,Europe/Tallinn,+372 6888080,et
100025,OV Ida-Bus OÜ,http://www.peatus.ee,Europe/Tallinn,+372 5358 6017,et
100075,OÜ Baltic Shuttle,http://www.peatus.ee,Europe/Tallinn,+372 53048877,et
100036,PRESTO osaühing,http://www.presto.ee,Europe/Tallinn,4475177,et
42,Rannu Rukkilill E.S.T. OÜ,http://www.peatus.ee,Europe/Tallinn,+ 372 3351263,et
100060,Saaremaa vald,http://saaremaavald.ee,Europe/Tallinn,4550530,""
50,SEBE Aktsiaselts,http://www.sebe.ee,Europe/Tallinn,+372 6064969,et
100030,Sirel Reisid OÜ,http://sirelreisid.com/,Europe/Tallinn,+372 5152849,et
220,Taisto Express OÜ,http://www.taistoexpress.ee,Europe/Tallinn,+372 56257001,et
56,Tallinna Linnatranspordi AS,http://www.tallinnlt.ee/,Europe/Tallinn,+ 372 6509500,et
100052,TS Laevad OÜ,http://www.praamid.ee,Europe/Tallinn,6318323,""
869,Tõnu Tours OÜ,http://tonutours.onepagefree.com/,Europe/Tallinn,+372 56624522,et
100077,Valgis osaühing,http://www.peatus.ee,Europe/Tallinn,+372 56923925,et
0,Teadmata,http://www.peatus.ee,Europe/Tallinn,"",
